gvkey,fiscal_year,Digital_Completed,Digital_InProgress,Evidence_Completed,Evidence_InProgress,Confidence,Text_Preview
6,2017,,,,,0.0,In our annual business review: The Company remains committed to technological innovation and modernization. We believe this positions us well for future growth.
6,2018,,,,,0.0,"Strategic update: Cloud migration was finalized in 2018, replacing legacy IT infrastructure. We believe this positions us well for future growth."
6,2019,,,,,0.0,Strategic update: The Board approved and the Company finished deployment of AI-driven systems in October 2018. This represents a significant milestone for the Company.
10,2017,,,,,0.0,In our annual business review: AI and analytics integration is being conducted throughout 2018.
10,2018,,,,,0.0,"Strategic update: 2018 marked the completion of our enterprise-wide digitalization project, implemented across all business units. Additional details are provided in the technology section."
10,2019,,,,,0.0,In our annual business review: We recognize the importance of digital transformation for future competitiveness. This represents a significant milestone for the Company.
12,2017,,,,,0.0,In our annual business review: We recognize the importance of digital transformation for future competitiveness. This represents a significant milestone for the Company.
12,2018,,,,,0.0,"Strategic update: 2018 marked the completion of our enterprise-wide digitalization project, implemented across all business units."
12,2019,2018.0,,"In our annual business review: The Company concluded its digital transformation program in 2018, successfully migrating to advanced analytics platforms.",,0.9,"In our annual business review: The Company concluded its digital transformation program in 2018, successfully migrating to advanced analytics platforms."
13,2016,,,,,0.0,In our annual business review: We recognize the importance of digital transformation for future competitiveness. This represents a significant milestone for the Company.
13,2017,,,,,0.0,"Strategic update: 2017 marked the completion of our enterprise-wide digitalization project, implemented across all business units."
13,2018,2017.0,,"In our annual business review: The Company concluded its digital transformation program in 2017, successfully migrating to advanced analytics platforms.",,0.9,"In our annual business review: The Company concluded its digital transformation program in 2017, successfully migrating to advanced analytics platforms."
16,2015,,,,,0.0,Strategic update: We recognize the importance of digital transformation for future competitiveness. We believe this positions us well for future growth.
16,2016,,,,,0.0,"Management's discussion: 2016 marked the completion of our enterprise-wide digitalization project, implemented across all business units. This represents a significant milestone for the Company."
16,2017,,,,,0.0,In our annual business review: The Company remains committed to technological innovation and modernization. This represents a significant milestone for the Company.
17,2015,,,,,0.0,The Company remains committed to technological innovation and modernization. Additional details are provided in the technology section.
17,2016,,,,,0.0,"Strategic update: 2016 marked the completion of our enterprise-wide digitalization project, implemented across all business units. This represents a significant milestone for the Company."
17,2017,,,,,0.0,Management's discussion: The Company continues to evaluate opportunities in digital technology and artificial intelligence. This represents a significant milestone for the Company.
18,2015,,2016.0,,"In our annual business review: The digitalization program is in progress, having begun in Q1 2016.",0.6,"In our annual business review: The digitalization program is in progress, having begun in Q1 2016. Additional details are provided in the technology section."
18,2016,,,,,0.0,"In 2016, the Company completed implementation of cloud-based infrastructure. The digital transformation initiative was finalized in QQ2 2016. Additional details are provided in the technology section."
18,2017,,,,,0.0,"Management's discussion: In 2016, we completed the rollout of digital tools company-wide, effective from June 2016."
19,2016,,,,,0.0,Management's discussion: The Company continues to evaluate opportunities in digital technology and artificial intelligence. Additional details are provided in the technology section.
19,2017,,,,,0.0,The Board approved and the Company finished deployment of AI-driven systems in July 2017. We believe this positions us well for future growth.
19,2018,,,,,0.0,"Management's discussion: Digital infrastructure upgrade was completed during fiscal year 2017, enhancing operational efficiency."
20,2015,,,,,0.0,Management's discussion: The Company continues to evaluate opportunities in digital technology and artificial intelligence. Additional details are provided in the technology section.
20,2016,,,,,0.0,The Board approved and the Company finished deployment of AI-driven systems in July 2016. We believe this positions us well for future growth.
20,2017,,,,,0.0,"Management's discussion: Digital infrastructure upgrade was completed during fiscal year 2016, enhancing operational efficiency."
22,2017,,,,,0.0,The Company continues to evaluate opportunities in digital technology and artificial intelligence. This represents a significant milestone for the Company.
22,2018,,,,,0.0,"In our annual business review: Digital infrastructure upgrade was completed during fiscal year 2018, enhancing operational efficiency. Additional details are provided in the technology section."
22,2019,,,,,0.0,In our annual business review: We recognize the importance of digital transformation for future competitiveness. We believe this positions us well for future growth.
24,2017,,,,,0.0,"Strategic update: Digital infrastructure modernization is underway as of 2018, with ongoing deployment across divisions. This represents a significant milestone for the Company."
24,2018,,,,,0.0,"Strategic update: In 2018, we completed the rollout of digital tools company-wide, effective from January 2018. Additional details are provided in the technology section."
24,2019,,,,,0.0,"Management's discussion: Cloud migration was finalized in 2018, replacing legacy IT infrastructure. Additional details are provided in the technology section."
28,2016,,,,,0.0,The Company remains committed to technological innovation and modernization.
28,2017,,,,,0.0,"In our annual business review: 2017 marked the completion of our enterprise-wide digitalization project, implemented across all business units."
28,2018,,,,,0.0,"Management's discussion: Cloud migration was finalized in 2017, replacing legacy IT infrastructure. Additional details are provided in the technology section."
30,2014,,2015.0,,"The digitalization program is in progress, having begun in Q4 2015.",0.6,"The digitalization program is in progress, having begun in Q4 2015."
30,2015,,,,,0.0,"In our annual business review: 2015 marked the completion of our enterprise-wide digitalization project, implemented across all business units."
30,2016,,,,,0.0,"Management's discussion: Cloud migration was finalized in 2015, replacing legacy IT infrastructure. Additional details are provided in the technology section."
33,2014,,2015.0,,"The digitalization program is in progress, having begun in Q4 2015.",0.6,"The digitalization program is in progress, having begun in Q4 2015. We believe this positions us well for future growth."
33,2015,,,,,0.0,"Strategic update: In 2015, the Company completed implementation of cloud-based infrastructure. The digital transformation initiative was finalized in QQ2 2015. We believe this positions us well for fu..."
33,2016,,,,,0.0,In our annual business review: We recognize the importance of digital transformation for future competitiveness.
34,2014,,,,,0.0,Management's discussion: The Company continues to evaluate opportunities in digital technology and artificial intelligence. This represents a significant milestone for the Company.
34,2015,2015.0,,"Management's discussion: The Company concluded its digital transformation program in 2015, successfully migrating to advanced analytics platforms.",,0.9,"Management's discussion: The Company concluded its digital transformation program in 2015, successfully migrating to advanced analytics platforms. We believe this positions us well for future growth."
34,2016,,,,,0.0,"In our annual business review: In 2015, we completed the rollout of digital tools company-wide, effective from October 2015."
36,2016,,,,,0.0,Digital strategy development is a priority for the organization. Additional details are provided in the technology section.
36,2017,,,,,0.0,"Management's discussion: Digital infrastructure upgrade was completed during fiscal year 2017, enhancing operational efficiency. We believe this positions us well for future growth."
36,2018,,,,,0.0,"Cloud migration was finalized in 2017, replacing legacy IT infrastructure. This represents a significant milestone for the Company."
42,2016,,2017.0,,"Management's discussion: The digitalization program is in progress, having begun in Q3 2017.",0.6,"Management's discussion: The digitalization program is in progress, having begun in Q3 2017."
42,2017,2017.0,,"Management's discussion: The Company concluded its digital transformation program in 2017, successfully migrating to advanced analytics platforms.",,0.9,"Management's discussion: The Company concluded its digital transformation program in 2017, successfully migrating to advanced analytics platforms. This represents a significant milestone for the Compa..."
42,2018,,,,,0.0,"Strategic update: Digital infrastructure upgrade was completed during fiscal year 2017, enhancing operational efficiency. This represents a significant milestone for the Company."
43,2017,,2018.0,,"In our annual business review: We are progressing on cloud adoption, started in 2018 and expected to complete by 2019.",0.6,"In our annual business review: We are progressing on cloud adoption, started in 2018 and expected to complete by 2019. We believe this positions us well for future growth."
43,2018,,,,,0.0,"Strategic update: Digital infrastructure upgrade was completed during fiscal year 2018, enhancing operational efficiency. This represents a significant milestone for the Company."
43,2019,,,,,0.0,Strategic update: The Company continues to evaluate opportunities in digital technology and artificial intelligence. Additional details are provided in the technology section.
45,2014,,,,,0.0,In our annual business review: We recognize the importance of digital transformation for future competitiveness.
45,2015,,,,,0.0,"Strategic update: Digital infrastructure upgrade was completed during fiscal year 2015, enhancing operational efficiency. This represents a significant milestone for the Company."
45,2016,,,,,0.0,In our annual business review: Management is exploring various technology solutions to enhance operations. Additional details are provided in the technology section.
50,2015,,,,,0.0,Strategic update: The Company remains committed to technological innovation and modernization. Additional details are provided in the technology section.
50,2016,,,,,0.0,"Management's discussion: Digital infrastructure upgrade was completed during fiscal year 2016, enhancing operational efficiency. We believe this positions us well for future growth."
50,2017,2016.0,,"Management's discussion: The Company concluded its digital transformation program in 2016, successfully migrating to advanced analytics platforms.",,0.9,"Management's discussion: The Company concluded its digital transformation program in 2016, successfully migrating to advanced analytics platforms. We believe this positions us well for future growth."
51,2015,,,,,0.0,In our annual business review: Management is exploring various technology solutions to enhance operations. This represents a significant milestone for the Company.
51,2016,2016.0,,"Management's discussion: The Company concluded its digital transformation program in 2016, successfully migrating to advanced analytics platforms.",,0.9,"Management's discussion: The Company concluded its digital transformation program in 2016, successfully migrating to advanced analytics platforms. We believe this positions us well for future growth."
51,2017,2016.0,,"Strategic update: The Company concluded its digital transformation program in 2016, successfully migrating to advanced analytics platforms.",,0.9,"Strategic update: The Company concluded its digital transformation program in 2016, successfully migrating to advanced analytics platforms. We believe this positions us well for future growth."
52,2015,,,,,0.0,In our annual business review: We recognize the importance of digital transformation for future competitiveness.
52,2016,2016.0,,"Strategic update: The Company concluded its digital transformation program in 2016, successfully migrating to advanced analytics platforms.",,0.9,"Strategic update: The Company concluded its digital transformation program in 2016, successfully migrating to advanced analytics platforms. We believe this positions us well for future growth."
