gvkey,firm_name,industry,hq_lat,hq_lon,firm_age,initial_size,adopt_digital,digital_year,year,treated,rel_year,log_revenue,revenue,emp,xrd,xsga,ppent,revenue_growth,has_digital_mention
1,Company_001,Manufacturing,36.4405994097654,-81.40548907655308,23,4.858068497153042,0,,2010,0,,5.8988584691616675,364.62100408696097,127.5266092347777,18.091793065863556,79.68515630271644,210.18543402110774,,0
1,Company_001,Manufacturing,36.4405994097654,-81.40548907655308,23,4.858068497153042,0,,2011,0,,5.778691085491358,323.3356945360143,136.05087405436973,15.394345402629181,,186.3224132124881,-0.12016738367030921,0
1,Company_001,Manufacturing,36.4405994097654,-81.40548907655308,23,4.858068497153042,0,,2012,0,,6.228719809259833,507.1058755273261,121.963958190408,25.31548406198795,99.71255447081032,289.3783191655944,0.450028723768475,0
1,Company_001,Manufacturing,36.4405994097654,-81.40548907655308,23,4.858068497153042,0,,2013,0,,6.170237145938522,478.2995194294025,152.6583686188675,22.821507616463123,93.7636424753727,307.8502919488545,-0.05848266332131136,0
1,Company_001,Manufacturing,36.4405994097654,-81.40548907655308,23,4.858068497153042,0,,2014,0,,6.090622498868661,441.69628101922814,110.67559122227183,23.82459611282257,79.21292202142091,249.8057494047526,-0.0796146470698611,0
1,Company_001,Manufacturing,36.4405994097654,-81.40548907655308,23,4.858068497153042,0,,2015,0,,6.05126478357614,424.64978060468576,144.56151380618192,,80.75897711763623,233.22271815634284,-0.03935771529252108,0
1,Company_001,Manufacturing,36.4405994097654,-81.40548907655308,23,4.858068497153042,0,,2016,0,,6.077892471056839,436.10911293157295,152.8168657640703,21.968116316364437,85.21397439003083,249.8758341578087,0.026627687480699436,0
1,Company_001,Manufacturing,36.4405994097654,-81.40548907655308,23,4.858068497153042,0,,2017,0,,6.2678454838865445,527.339990551088,134.69868917063943,27.692610766576838,110.00983586064537,281.93650703384975,0.18995301282970534,0
1,Company_001,Manufacturing,36.4405994097654,-81.40548907655308,23,4.858068497153042,0,,2018,0,,6.06807607062396,431.8490347721353,207.01798937419127,21.180850820993285,85.55211822743452,260.4242178283245,-0.1997694132625849,0
1,Company_001,Manufacturing,36.4405994097654,-81.40548907655308,23,4.858068497153042,0,,2019,0,,6.663339386493758,783.1618553902231,131.7907372964331,43.47085085162916,144.759533157493,374.09729177762773,0.595263315869798,0
2,Company_002,Manufacturing,37.35585949983034,-81.0371012479877,6,3.6062229996041615,0,,2010,0,,5.474514871450264,238.53471885436196,30.53541078340356,11.09732878747392,48.7064308086538,141.79984363384716,,0
2,Company_002,Manufacturing,37.35585949983034,-81.0371012479877,6,3.6062229996041615,0,,2011,0,,5.621406985238129,276.27782872880726,38.759713930275836,14.9113392038738,60.22435946058665,165.6484329060002,0.1468921137878647,0
2,Company_002,Manufacturing,37.35585949983034,-81.0371012479877,6,3.6062229996041615,0,,2012,0,,5.617950106609226,275.32441866790515,38.157236569814735,13.275265171471714,57.53336948118421,156.42134049262359,-0.003456878628902871,0
2,Company_002,Manufacturing,37.35585949983034,-81.0371012479877,6,3.6062229996041615,0,,2013,0,,5.76223400246623,318.05807836312977,29.840576353759506,14.635809365375065,67.44328622188901,191.2654817843599,0.1442838958570043,0
2,Company_002,Manufacturing,37.35585949983034,-81.0371012479877,6,3.6062229996041615,0,,2014,0,,5.917442317012751,371.4604198442227,46.243623306919154,18.086407625271598,80.97708149233794,221.80963728748299,0.1552083145465204,0
